"id";"produto_principal";"produto_composicao";"quantidade";"valor_unitario";"valor_custo";"valor_produto";"data"
"11502";"TRADICIONAL.";"ALFACE AMERICANA";"0.015";"16.5";"0.25";NULL;"2025-07-31 10:19:31"
"11503";"TRADICIONAL.";"TOMATE LONGA VIDA";"0.03";"5.53";"0.17";NULL;"2025-07-31 10:19:31"
"11504";"TRADICIONAL.";"CEBOLA BRANCA";"0.04";"2.27";"0.09";NULL;"2025-07-31 10:19:31"
"11506";"TRADICIONAL.";"MOLHO GARLIC";"0.03";"25.2";"0.76";NULL;"2025-07-31 10:19:31"
"11507";"TRADICIONAL.";"PÃO BRIOCHE";"1";"1.3";"1.3";NULL;"2025-07-31 10:19:31"
"11508";"TRADICIONAL.";"QUEIJO CHEDDAR FATIA";"0.04";"33.3";"1.33";NULL;"2025-07-31 10:19:31"
"11509";"TRADICIONAL.";"MANTEIGA COM SAL";"0.001";"42.68";"0.04";NULL;"2025-07-31 10:19:31"
"11510";"TRADICIONAL.";"BACON FATIADO - BC";"0.07";"41";"2.87";NULL;"2025-07-31 10:19:31"
"12523";"TRADICIONAL.";"AZEITE COMPOSTO";"0.005";"20.16";"0.1";NULL;"2025-07-31 10:19:31"
"11525";"TEXANO.";"PÃO BRIOCHE";"1";"1.3";"1.3";NULL;"2025-07-31 10:18:35"
"11526";"TEXANO.";"HAMBURGUER ANGUS 170G";"1";"8.3";"8.3";NULL;"2025-07-31 10:18:35"
"11527";"TEXANO.";"MOLHO MAIONESE";"0.03";"22.22";"0.67";NULL;"2025-07-31 10:18:35"
"11528";"TEXANO.";"ALFACE AMERICANA";"0.015";"16.5";"0.25";NULL;"2025-07-31 10:18:35"
"11529";"TEXANO.";"TOMATE LONGA VIDA";"0.03";"5.53";"0.17";NULL;"2025-07-31 10:18:35"
"11530";"TEXANO.";"OVO";"1";"0.55";"0.55";NULL;"2025-07-31 10:18:35"
"11531";"TEXANO.";"MOLHO KETCHUP DE GOIABA";"0.03";"16.2";"0.49";NULL;"2025-07-31 10:18:35"
"11532";"TEXANO.";"QUEIJO CHEDDAR FATIA";"0.02";"33.3";"0.67";NULL;"2025-07-31 10:18:35"
"11533";"TEXANO.";"BACON FATIADO - BC";"0.07";"41";"2.87";NULL;"2025-07-31 10:18:35"
"11511";"RETRO.";"MOLHO MAIONESE";"0.03";"22.22";"0.67";NULL;"2025-07-31 10:18:14"
"11512";"RETRO.";"HAMBURGUER 120G";"1";"6.08";"6.08";NULL;"2025-07-31 10:18:14"
"11513";"RETRO.";"FARINHA DE ROSCA";"0.02";"7.48";"0.15";NULL;"2025-07-31 10:18:14"
"11514";"RETRO.";"FARINHA PANKO";"0.02";"19.9";"0.4";NULL;"2025-07-31 10:18:14"
"11515";"RETRO.";"ALFACE AMERICANA";"0.015";"16.5";"0.25";NULL;"2025-07-31 10:18:14"
"11516";"RETRO.";"TOMATE LONGA VIDA";"0.03";"5.53";"0.17";NULL;"2025-07-31 10:18:14"
"11517";"RETRO.";"ONION RINGS";"0.03";"21.46";"0.64";NULL;"2025-07-31 10:18:14"
"11519";"RETRO.";"MOLHO GARLIC";"0.03";"25.2";"0.76";NULL;"2025-07-31 10:18:14"
"11520";"RETRO.";"LEITE INTEGRAL";"0.034";"5.57";"0.19";NULL;"2025-07-31 10:18:14"
"11521";"RETRO.";"PIMENTA CALABRESA";"0.005";"45";"0.22";NULL;"2025-07-31 10:18:14"
"11522";"RETRO.";"BACON FATIADO - BC";"0.07";"41";"2.87";NULL;"2025-07-31 10:18:14"
"11523";"RETRO.";"OVO";"0.013";"0.55";"0.01";NULL;"2025-07-31 10:18:14"
"11524";"RETRO.";"PÃO BRIOCHE GERGELIM";"1";"1.4";"1.4";NULL;"2025-07-31 10:18:14"
"12657";"RETRO.";"QUEIJO CHEDDAR CREMOSO";"0.064";"27.25";"1.74";NULL;"2025-07-31 10:18:14"
"12658";"RETRO.";"PIMENTA MENDEZ - 490 GR";"0.002";"30.9";"0.06";NULL;"2025-07-31 10:18:14"
"10891";"PICANHA PREMIUM.";"PÃO BRIOCHE COM PARMESÃO";"1";"1.4";"1.4";NULL;"2025-07-31 10:17:52"
"10892";"PICANHA PREMIUM.";"MOLHO GARLIC";"0.06";"25.2";"1.51";NULL;"2025-07-31 10:17:52"
"10893";"PICANHA PREMIUM.";"CEBOLA BRANCA";"0.02";"2.27";"0.05";NULL;"2025-07-31 10:17:52"
"10894";"PICANHA PREMIUM.";"ACUCAR MASCAVO";"0.002";"10.17";"0.02";NULL;"2025-07-31 10:17:52"
"10895";"PICANHA PREMIUM.";"QUEIJO ESTEPE FATIADO";"0.02";"85.6";"1.71";NULL;"2025-07-31 10:17:52"
"10897";"PICANHA PREMIUM.";"BACON FATIADO - BC";"0.07";"41";"2.87";NULL;"2025-07-31 10:17:52"
"10898";"PICANHA PREMIUM.";"WHISKY P/ PREPARAÇÃO DE PRATOS";"0.001";"39";"0.04";NULL;"2025-07-31 10:17:52"
"10899";"PICANHA PREMIUM.";"MOLHO SHOYO";"0.003";"8.15";"0.02";NULL;"2025-07-31 10:17:52"
"10900";"PICANHA PREMIUM.";"XAROPE COCA COLA";"0.02";"26.02";"0.52";NULL;"2025-07-31 10:17:52"
"12254";"PICANHA PREMIUM.";"HAMBURGER DE PICANHA 170G";"1";"8.73";"8.73";NULL;"2025-07-31 10:17:52"
"11534";"AGRIDOCE.";"PÃO BRIOCHE";"1";"1.3";"1.3";NULL;"2025-07-31 10:17:30"
"11535";"AGRIDOCE.";"HAMBURGUER ANGUS 170G";"1";"8.3";"8.3";NULL;"2025-07-31 10:17:30"
"11536";"AGRIDOCE.";"MOLHO GOOD LIFE";"0.03";"29.06";"0.87";NULL;"2025-07-31 10:17:30"
"11537";"AGRIDOCE.";"CEBOLA BRANCA";"0.03";"2.27";"0.07";NULL;"2025-07-31 10:17:30"
"11538";"AGRIDOCE.";"MEL";"0.0012";"34.98";"0.04";NULL;"2025-07-31 10:17:30"
"11539";"AGRIDOCE.";"ACUCAR MASCAVO";"0.006";"10.17";"0.06";NULL;"2025-07-31 10:17:30"
"11540";"AGRIDOCE.";"QUEIJO MUÇARELA FATIADA";"0.04";"47.76";"1.91";NULL;"2025-07-31 10:17:30"
"11541";"AGRIDOCE.";"BACON FATIADO - BC";"0.07";"41";"2.87";NULL;"2025-07-31 10:17:30"
"12961";"MIGNON AO MADEIRA COM FRITAS E GORGONZOLA";"FILE MIGNON CUBOS 150G";"1";"14.07";"14.07";"74";"2025-07-30 22:08:41"
"6272";"COPO AGRIDOCE";"COPO AGRIDOCE";"1";"3.05";"3.05";NULL;"2025-07-30 09:42:05"
"8168";"FRANGO CUBOS 200G";"PEITO DE FRANGO - FILE";"0.2255";"26.13";"5.89";NULL;"2025-07-28 16:13:35"
"960";"HAP. CHOPP AMSTEL";"CHOPP AMSTEL BARRIL";"0.36";"11.95";"4.3";NULL;"2025-07-27 10:29:51"
"11490";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"BIJU";"0.004";"24.85";"0.1";NULL;"2025-07-27 08:36:55"
"11491";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"LEITE EM PÓ";"0.032";"53.34";"1.71";NULL;"2025-07-27 08:36:55"
"11492";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"BEBIDA LÁCTEA BAUNILHA";"0.253";"6.71";"1.7";NULL;"2025-07-27 08:36:55"
"11493";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"CREME DE LEITE 17";"0.05";"13.07";"0.65";NULL;"2025-07-27 08:36:55"
"11494";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"BRIGADEIRO DE LEITE NINHO";"0.05";"31.51";"1.58";NULL;"2025-07-27 08:36:55"
"11497";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"CREME DE PISTACHE";"0.05";"91.99";"4.6";NULL;"2025-07-27 08:36:55"
"11931";"SHAKE  DE PISTACHE COM NINHO PREMIUM";"PISTACHE TRITURADO";"0.03";"409.48";"12.28";NULL;"2025-07-27 08:36:55"
"399";"CHOPP AMSTEL";"CHOPP AMSTEL BARRIL";"0.36";"11.95";"4.3";NULL;"2025-07-26 22:19:09"
"12896";"ALCATRA BOX";"OVO";"1";"0.55";"0.55";"65";"2025-07-25 17:12:33"
"12906";"ALCATRA BOX";"FEIJAO VERMELHO";"0.02";"16.76";"0.34";"65";"2025-07-25 17:12:33"
"5195";"DESATIVAR";"FILE MIGNON BOVINO";"0.16";"52.48";"8.4";NULL;"2025-07-24 17:32:58"
"9740";"AD FILE MIGNON CUBOS";"FILE  CUBOS 90G";"1";"10.62";"10.62";NULL;"2025-07-24 17:24:42"
"12959";"MIGNON AO MADEIRA COM FRITAS E GORGONZOLA";"FILE MIGNON BOVINO";"0.15";"52.48";"7.87";"74";"2025-07-24 17:17:21"
"12931";"MIGNON AO MADEIRA COM FRITAS E GORGONZOLA";"FILE MIGNON BOVINO - NELORE";"0.18";NULL;NULL;"74";"2025-07-23 17:43:46"
"12632";"FRANGO MILANESA COM MOLHO CREMOSO.";"FRANGO CUBOS 200G";"2";"5.09";"10.18";NULL;"2025-07-22 10:45:44"
"149";"DUPLO";"PÃO AUSTRALIANO";"1";"1.4";"1.4";"69";"2025-07-18 12:24:37"
"150";"DUPLO";"HAMBURGUER ANGUS 170G";"2";"8.3";"16.6";"69";"2025-07-18 12:24:37"
"151";"DUPLO";"MOLHO DA CASA";"0.06";"31.73";"1.9";"69";"2025-07-18 12:24:37"
"154";"DUPLO";"QUEIJO CHEDDAR FATIA";"0.08";"33.3";"2.66";"69";"2025-07-18 12:24:37"
"5197";"DUPLO";"CEBOLA CRISPY";"0.01";"45.43";"0.45";"69";"2025-07-18 12:24:37"
"5533";"DUPLO";"BACON FATIADO - BC";"0.07";"41";"2.87";"69";"2025-07-18 12:24:37"
"12278";"CACHACA";"CACHACA";"0.06";"42";"2.52";NULL;"2025-07-11 11:26:53"
"12274";"WHISKY JACK DANIELS";"WHISKY JACK DANIELS";"0.06";"137";"8.22";NULL;"2025-07-11 11:26:30"
"12273";"GIN";"GIN";"0.06";"106.533";"6.39";NULL;"2025-07-11 11:26:10"
"8154";"SAL REFINADO";"SAL REFINADO";"0.01";"1.25";"0.01";NULL;"2025-07-11 11:22:03"
"11947";"SOBRECOXA TEMPERADA";"SAL REFINADO";"0.002";"1.25";"0";NULL;"2025-07-10 00:38:52"
"11948";"SOBRECOXA TEMPERADA";"LARANJA";"0.075";"3.35";"0.25";NULL;"2025-07-10 00:38:52"
"11949";"SOBRECOXA TEMPERADA";"CHIMICHURI SECO";"0.002";"45";"0.09";NULL;"2025-07-10 00:38:52"
"11958";"SOBRECOXA TEMPERADA";"COXA E SOBRECOXA SEM OSSO";"0.165";"9";"1.48";NULL;"2025-07-10 00:38:52"
"12424";"MUCARELA DO PICANTE";"QUEIJO MUÇARELA";"1";"33.02";"33.02";NULL;"2025-07-09 10:32:42"
"11684";"PARMEGIANA BOVINA.";"ARROZ";"0.05";"5.05";"0.25";NULL;"2025-07-09 10:03:52"
"11877";"PARMEGIANA DE FRANGO.";"ARROZ";"0.05";"5.05";"0.25";NULL;"2025-07-09 10:03:27"
"10298";"CEBOLA NA COCA";"CEBOLA BRANCA";"2.10526";"2.27";"4.78";NULL;"2025-07-08 11:33:35"
"10299";"CEBOLA NA COCA";"MOLHO SHOYO";"0.10526";"8.15";"0.86";NULL;"2025-07-08 11:33:35"
"10301";"CEBOLA NA COCA";"ACUCAR MASCAVO";"0.31579";"10.17";"3.21";NULL;"2025-07-08 11:33:35"
"10302";"CEBOLA NA COCA";"COCA-COLA LATA";"2.10526";"3.42";"7.2";NULL;"2025-07-08 11:33:35"
"10303";"CEBOLA NA COCA";"MEL";"0.14737";"34.98";"5.16";NULL;"2025-07-08 11:33:35"
"10840";"CEBOLA NA COCA";"WHISKY P/ PREPARAÇÃO DE PRATOS";"0.05263";"39";"2.05";NULL;"2025-07-08 11:33:35"
"3894";"BISNAGA GOOD LIFE";"BISNAGA PARA MOLHO - UN";"1";"0.57";"0.57";"22";"2025-07-02 17:25:13"
"3895";"BISNAGA GOOD LIFE";"TAMPA P/ BISNAGA- UN";"1";"1.11";"1.11";"22";"2025-07-02 17:25:13"
"3896";"BISNAGA GOOD LIFE";"MOLHO GOOD LIFE";"0.2";"29.06";"5.81";"22";"2025-07-02 17:25:13"
"11761";"BISNAGA GARLIC.";"MOLHO GARLIC";"0.2";"25.2";"5.04";NULL;"2025-07-02 17:21:59"
"11762";"BISNAGA GARLIC.";"BISNAGA PARA MOLHO - UN";"1";"0.57";"0.57";NULL;"2025-07-02 17:21:59"
"11763";"BISNAGA GARLIC.";"TAMPA P/ BISNAGA- UN";"1";"1.11";"1.11";NULL;"2025-07-02 17:21:59"
"11755";"BISNAGA GOOD LIFE.";"BISNAGA PARA MOLHO - UN";"1";"0.57";"0.57";NULL;"2025-07-02 17:20:15"
"11756";"BISNAGA GOOD LIFE.";"TAMPA P/ BISNAGA- UN";"1";"1.11";"1.11";NULL;"2025-07-02 17:20:15"
"11757";"BISNAGA GOOD LIFE.";"MOLHO GOOD LIFE";"0.2";"29.06";"5.81";NULL;"2025-07-02 17:20:15"
"11758";"BISNAGA DA CASA.";"MOLHO DA CASA";"0.2";"31.73";"6.35";NULL;"2025-07-02 17:14:20"
"11759";"BISNAGA DA CASA.";"BISNAGA PARA MOLHO - UN";"1";"0.57";"0.57";NULL;"2025-07-02 17:14:20"
"11760";"BISNAGA DA CASA.";"TAMPA P/ BISNAGA- UN";"1";"1.11";"1.11";NULL;"2025-07-02 17:14:20"
"12697";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"BIJU";"0.004";"24.85";"0.1";"28";"2025-07-01 17:35:54"
"12698";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"CALDA DE CARAMELO";"0.02";"14.85";"0.3";"28";"2025-07-01 17:35:54"
"12699";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"BEBIDA LÁCTEA BAUNILHA";"0.253";"6.71";"1.7";"28";"2025-07-01 17:35:54"
"12700";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"CHANTILLY";"0.01";"17.39";"0.17";"28";"2025-07-01 17:35:54"
"12702";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"DOCE DE LEITE TRADICIONAL";"0.02";"54.87";"1.1";"28";"2025-07-01 17:35:54"
"12703";"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";"PACOCA DE AMENDOIM";"0.04";"44.55";"1.78";"28";"2025-07-01 17:35:54"
